path,original_subjective_score,scaled_subjective_score,dataset,reference,distortion,level,group
/home/sergey/iqa-data/kadid10k/images/I01_01_01.png,4.57,0.9083969465648857,kadid10k,kadid10k/i01,01,1,blur
/home/sergey/iqa-data/kadid10k/images/I01_01_02.png,4.33,0.8473282442748092,kadid10k,kadid10k/i01,01,2,blur
/home/sergey/iqa-data/kadid10k/images/I01_01_03.png,2.67,0.42493638676844786,kadid10k,kadid10k/i01,01,3,blur
/home/sergey/iqa-data/kadid10k/images/I01_01_04.png,1.67,0.17048346055979643,kadid10k,kadid10k/i01,01,4,blur
/home/sergey/iqa-data/kadid10k/images/I01_01_05.png,1.1,0.025445292620865163,kadid10k,kadid10k/i01,01,5,blur
/home/sergey/iqa-data/kadid10k/images/I01_02_01.png,3.83,0.7201017811704835,kadid10k,kadid10k/i01,02,1,blur
/home/sergey/iqa-data/kadid10k/images/I01_02_02.png,2.27,0.3231552162849873,kadid10k,kadid10k/i01,02,2,blur
/home/sergey/iqa-data/kadid10k/images/I01_02_03.png,1.53,0.13486005089058525,kadid10k,kadid10k/i01,02,3,blur
/home/sergey/iqa-data/kadid10k/images/I01_02_04.png,1.23,0.058524173027989825,kadid10k,kadid10k/i01,02,4,blur
/home/sergey/iqa-data/kadid10k/images/I01_02_05.png,1.2,0.05089058524173027,kadid10k,kadid10k/i01,02,5,blur
/home/sergey/iqa-data/kadid10k/images/I01_03_01.png,4.73,0.9491094147582699,kadid10k,kadid10k/i01,03,1,blur
/home/sergey/iqa-data/kadid10k/images/I01_03_02.png,3.97,0.7557251908396948,kadid10k,kadid10k/i01,03,2,blur
/home/sergey/iqa-data/kadid10k/images/I01_03_03.png,2.7,0.43256997455470747,kadid10k,kadid10k/i01,03,3,blur
/home/sergey/iqa-data/kadid10k/images/I01_03_04.png,2.03,0.2620865139949109,kadid10k,kadid10k/i01,03,4,blur
/home/sergey/iqa-data/kadid10k/images/I01_03_05.png,1.5,0.1272264631043257,kadid10k,kadid10k/i01,03,5,blur
/home/sergey/iqa-data/kadid10k/images/I01_04_01.png,4.73,0.9491094147582699,kadid10k,kadid10k/i01,04,1,color
/home/sergey/iqa-data/kadid10k/images/I01_04_02.png,2.17,0.29770992366412213,kadid10k,kadid10k/i01,04,2,color
/home/sergey/iqa-data/kadid10k/images/I01_04_03.png,1.37,0.09414758269720105,kadid10k,kadid10k/i01,04,3,color
/home/sergey/iqa-data/kadid10k/images/I01_04_04.png,1.5,0.1272264631043257,kadid10k,kadid10k/i01,04,4,color
/home/sergey/iqa-data/kadid10k/images/I01_04_05.png,1.47,0.11959287531806616,kadid10k,kadid10k/i01,04,5,color
/home/sergey/iqa-data/kadid10k/images/I01_05_01.png,4.0,0.7633587786259542,kadid10k,kadid10k/i01,05,1,color
/home/sergey/iqa-data/kadid10k/images/I01_05_02.png,2.2,0.30534351145038174,kadid10k,kadid10k/i01,05,2,color
/home/sergey/iqa-data/kadid10k/images/I01_05_03.png,1.57,0.14503816793893132,kadid10k,kadid10k/i01,05,3,color
/home/sergey/iqa-data/kadid10k/images/I01_05_04.png,1.33,0.08396946564885499,kadid10k,kadid10k/i01,05,4,color
/home/sergey/iqa-data/kadid10k/images/I01_05_05.png,1.6,0.15267175572519087,kadid10k,kadid10k/i01,05,5,color
/home/sergey/iqa-data/kadid10k/images/I01_06_01.png,4.23,0.8218829516539442,kadid10k,kadid10k/i01,06,1,color
/home/sergey/iqa-data/kadid10k/images/I01_06_02.png,4.4,0.8651399491094149,kadid10k,kadid10k/i01,06,2,color
/home/sergey/iqa-data/kadid10k/images/I01_06_03.png,3.9,0.7379134860050891,kadid10k,kadid10k/i01,06,3,color
/home/sergey/iqa-data/kadid10k/images/I01_06_04.png,2.9,0.48346055979643765,kadid10k,kadid10k/i01,06,4,color
/home/sergey/iqa-data/kadid10k/images/I01_06_05.png,2.27,0.3231552162849873,kadid10k,kadid10k/i01,06,5,color
/home/sergey/iqa-data/kadid10k/images/I01_07_01.png,2.73,0.44020356234096697,kadid10k,kadid10k/i01,07,1,color
/home/sergey/iqa-data/kadid10k/images/I01_07_02.png,2.5,0.3816793893129771,kadid10k,kadid10k/i01,07,2,color
/home/sergey/iqa-data/kadid10k/images/I01_07_03.png,2.27,0.3231552162849873,kadid10k,kadid10k/i01,07,3,color
/home/sergey/iqa-data/kadid10k/images/I01_07_04.png,2.47,0.3740458015267176,kadid10k,kadid10k/i01,07,4,color
/home/sergey/iqa-data/kadid10k/images/I01_07_05.png,2.2,0.30534351145038174,kadid10k,kadid10k/i01,07,5,color
/home/sergey/iqa-data/kadid10k/images/I01_08_01.png,4.7,0.9414758269720103,kadid10k,kadid10k/i01,08,1,color
